epoch,acc,loss,val_acc,val_loss
0,0.7584269662921348,0.17879244994916274,0.7821229100227356,0.180510553900756
0,0.8412921348314607,0.12333045665467723,0.83240223796674,0.1246064738188376
1,0.8455056179775281,0.1188551082035129,0.8212290536091981,0.12666473059014902
2,0.8258426966292135,0.12276482699292429,0.83240223796674,0.12662985812685343
3,0.8398876404494382,0.11878574078672388,0.8379888301455108,0.1245506395840778
4,0.8342696629213483,0.12292827983920494,0.8156424617634139,0.1256343331083905
5,0.8314606741573034,0.12144304991940434,0.8044692780718458,0.12784476345144838
6,0.8258426966292135,0.12354312577609265,0.8156424617634139,0.12874274089016727
7,0.8314606741573034,0.1228334354550651,0.8212290536091981,0.1306018890948269
8,0.8230337078651685,0.12424483828330307,0.7988826858930748,0.13133893882096145
9,0.8356741573033708,0.1214548135071658,0.826815645787969,0.13081037906628082
10,0.8342696629213483,0.12188847982481624,0.826815645787969,0.1344244247042267
11,0.8342696629213483,0.12453923131642716,0.8379888298125241,0.128942830019823
12,0.8370786516853933,0.12165452640378073,0.826815645787969,0.13329879906257439
13,0.8314606741573034,0.12526251392418078,0.83240223796674,0.12555538026314209
14,0.8398876404494382,0.12178470797083352,0.826815645787969,0.12817658608852153
15,0.8342696629213483,0.12149179433838705,0.8212290536091981,0.13080031453897167
16,0.8216292134831461,0.12355033417096299,0.8212290536091981,0.12533015620442076
17,0.8047752808988764,0.12947388110535868,0.8212290539421849,0.1272789438843061
18,0.8216292134831461,0.12127776058872095,0.8268156461209558,0.13070859173156696
19,0.8497191011235955,0.1164447512854351,0.8100558692516562,0.13536888668990002
20,0.8286516853932584,0.1261026126782546,0.8156424614304271,0.12826681012214894
21,0.8356741573033708,0.12029749355959089,0.8212290536091981,0.1270299492268589
22,0.8370786516853933,0.11847679886255372,0.8156424617634139,0.13798126103824743
23,0.8412921348314607,0.11833386742666865,0.798882685227101,0.14601333547570852
24,0.8426966292134831,0.11967452858271224,0.826815645787969,0.1294445124085389
25,0.8342696629213483,0.12542214822233394,0.826815645787969,0.13344362261575027
26,0.8356741573033708,0.1257410788636529,0.8268156461209558,0.13908036003232668
27,0.8370786516853933,0.12357525912563452,0.8268156461209558,0.13115304100779848
28,0.824438202247191,0.12356763843739971,0.8100558699176298,0.12918784764891897
29,0.8342696629213483,0.12290123172020645,0.804469277405872,0.13365447612781098
30,0.8356741573033708,0.12055254802944955,0.804469277405872,0.13227361190918438
31,0.8384831460674157,0.11741151066308611,0.7988826855600879,0.13201095346964936
32,0.8286516853932584,0.1206322144926264,0.8268156461209558,0.1316937851672732
33,0.8342696629213483,0.1230846064144306,0.8212290539421849,0.13020754343304555
34,0.8398876404494382,0.12455602475766385,0.8379888301455108,0.1326215768326594
35,0.8286516853932584,0.12238758701956674,0.8100558699176298,0.1302889269157495
36,0.8356741573033708,0.12297631398345647,0.8100558695846429,0.1438806485696878
37,0.8286516853932584,0.12151526567641269,0.8100558695846429,0.14012930038588006
38,0.8356741573033708,0.12049921560153533,0.8156424617634139,0.13164241720178274
39,0.8300561797752809,0.11832561107415161,0.8100558695846429,0.1355801696717406
40,0.8328651685393258,0.11976573959495244,0.8100558695846429,0.13355235455755415
41,0.8384831460674157,0.12185521591245459,0.8268156461209558,0.1327258256061117
42,0.8258426966292135,0.12596155686324903,0.8268156461209558,0.13820939823235878
43,0.8342696629213483,0.11853143003549468,0.8268156461209558,0.1401436623581295
44,0.8412921348314607,0.12202327589640456,0.8156424617634139,0.13140206230419307
45,0.8328651685393258,0.11951784203561504,0.8212290536091981,0.13054620403817246
46,0.8356741573033708,0.12536181467637586,0.8212290536091981,0.12873039998155733
47,0.8314606741573034,0.1242293943180127,0.804469277405872,0.13235236229843267
48,0.8216292134831461,0.13155496539024825,0.798882685227101,0.14414402742625615
49,0.8202247191011236,0.12720524862910923,0.8156424617634139,0.13754536727620237
50,0.8356741573033708,0.12064311745461453,0.8212290536091981,0.13690981585220252
51,0.8300561797752809,0.12362287051222298,0.8379888301455108,0.13108066415320563
